week,region,cases,death,Notes
6/7/20,Menabe,0,0,
6/7/20,Sava,0,0,
6/7/20,Sofia,0,0,
6/7/20,unspecified,0,0,
6/7/20,Vakinankaratra,0,0,
6/7/20,Vatovavy-Fitovinany,0,0,
6/8/20,Alaotra-Mangoro,0,0,
6/8/20,Amoron'i Mania,0,0,
6/8/20,Analamanga,0,0,
6/8/20,Analanjirofo,0,0,
6/8/20,Androy,0,0,
6/8/20,Anosy,0,0,
6/8/20,Atsimo-Andrefana,0,0,
6/8/20,Atsimo-Atsinanana,0,0,
6/8/20,Atsinanana,42,0,
6/8/20,Betsiboka,0,0,
6/8/20,Boeny,0,0,
6/8/20,Bongolava,0,0,
6/8/20,Diana,0,0,
6/8/20,Ihorombe,0,0,
6/8/20,Itasy,0,0,
6/8/20,Matsiatra Ambony,0,0,
6/8/20,Melaky,0,0,
6/8/20,Menabe,0,0,
6/8/20,Sava,0,0,
6/8/20,Sofia,0,0,
6/8/20,unspecified,0,0,
6/8/20,Vakinankaratra,0,0,
6/8/20,Vatovavy-Fitovinany,0,0,
6/9/20,Alaotra-Mangoro,0,0,
6/9/20,Amoron'i Mania,0,0,
6/9/20,Analamanga,4,0,
6/9/20,Analanjirofo,0,0,
6/9/20,Androy,0,0,
6/9/20,Anosy,0,0,
6/9/20,Atsimo-Andrefana,0,0,
6/9/20,Atsimo-Atsinanana,0,0,
6/9/20,Atsinanana,40,0,
6/9/20,Betsiboka,0,0,
6/9/20,Boeny,0,0,
6/9/20,Bongolava,0,0,
6/9/20,Diana,0,0,
6/9/20,Ihorombe,0,0,
6/9/20,Itasy,0,0,
6/9/20,Matsiatra Ambony,0,0,
6/9/20,Melaky,0,0,
6/9/20,Menabe,0,0,
6/9/20,Sava,0,0,
6/9/20,Sofia,0,0,
6/9/20,unspecified,0,0,
6/9/20,Vakinankaratra,0,0,
6/9/20,Vatovavy-Fitovinany,0,0,
6/10/20,Alaotra-Mangoro,0,0,
6/10/20,Amoron'i Mania,0,0,
6/10/20,Analamanga,0,0,
6/10/20,Analanjirofo,0,0,
6/10/20,Androy,0,0,
6/10/20,Anosy,0,0,
6/10/20,Atsimo-Andrefana,0,0,
6/10/20,Atsimo-Atsinanana,0,0,
6/10/20,Atsinanana,18,1,
6/10/20,Betsiboka,0,0,
6/10/20,Boeny,0,0,
6/10/20,Bongolava,0,0,
6/10/20,Diana,0,0,
6/10/20,Ihorombe,0,0,
6/10/20,Itasy,0,0,
6/10/20,Matsiatra Ambony,0,0,
6/10/20,Melaky,0,0,
6/10/20,Menabe,0,0,
6/10/20,Sava,0,0,
6/10/20,Sofia,0,0,
6/10/20,unspecified,6,0,
6/10/20,Vakinankaratra,0,0,
6/10/20,Vatovavy-Fitovinany,0,0,
6/11/20,Alaotra-Mangoro,1,0,
6/11/20,Amoron'i Mania,0,0,
6/11/20,Analamanga,12,0,
6/11/20,Analanjirofo,6,0,
6/11/20,Androy,0,0,
6/11/20,Anosy,0,0,
6/11/20,Atsimo-Andrefana,0,0,
6/11/20,Atsimo-Atsinanana,0,0,
6/11/20,Atsinanana,22,0,
6/11/20,Betsiboka,0,0,
6/11/20,Boeny,0,0,
6/11/20,Bongolava,0,0,
6/11/20,Diana,0,0,
6/11/20,Ihorombe,0,0,
6/11/20,Itasy,0,0,
6/11/20,Matsiatra Ambony,0,0,
6/11/20,Melaky,0,0,
6/11/20,Menabe,0,0,
6/11/20,Sava,0,0,
6/11/20,Sofia,0,0,
6/11/20,unspecified,0,0,
6/11/20,Vakinankaratra,0,0,
6/11/20,Vatovavy-Fitovinany,0,0,
6/12/20,Alaotra-Mangoro,1,0,
6/12/20,Amoron'i Mania,0,0,
6/12/20,Analamanga,17,0,
6/12/20,Analanjirofo,8,0,
6/12/20,Androy,0,0,
6/12/20,Anosy,0,0,
6/12/20,Atsimo-Andrefana,0,0,
6/12/20,Atsimo-Atsinanana,0,0,
6/12/20,Atsinanana,0,0,
6/12/20,Betsiboka,0,0,
6/12/20,Boeny,0,0,
6/12/20,Bongolava,0,0,
6/12/20,Diana,0,0,
6/12/20,Ihorombe,0,0,
6/12/20,Itasy,1,0,
6/12/20,Matsiatra Ambony,0,0,
6/12/20,Melaky,0,0,
6/12/20,Menabe,0,0,
6/12/20,Sava,0,0,
6/12/20,Sofia,0,0,
6/12/20,unspecified,0,0,
6/12/20,Vakinankaratra,0,0,
6/12/20,Vatovavy-Fitovinany,0,0,
6/13/20,Alaotra-Mangoro,0,0,
6/13/20,Amoron'i Mania,0,0,
6/13/20,Analamanga,12,0,
6/13/20,Analanjirofo,0,0,
6/13/20,Androy,0,0,
6/13/20,Anosy,0,0,
6/13/20,Atsimo-Andrefana,0,0,
6/13/20,Atsimo-Atsinanana,0,0,
6/13/20,Atsinanana,10,0,
6/13/20,Betsiboka,0,0,
6/13/20,Boeny,0,0,
6/13/20,Bongolava,0,0,
6/13/20,Diana,0,0,
6/13/20,Ihorombe,0,0,
6/13/20,Itasy,0,0,
6/13/20,Matsiatra Ambony,0,0,
6/13/20,Melaky,0,0,
6/13/20,Menabe,0,0,
6/13/20,Sava,0,0,
6/13/20,Sofia,0,0,
6/13/20,unspecified,0,0,
6/13/20,Vakinankaratra,0,0,
6/13/20,Vatovavy-Fitovinany,0,0,
6/14/20,Alaotra-Mangoro,7,0,
6/14/20,Amoron'i Mania,0,0,
6/14/20,Analamanga,6,0,
6/14/20,Analanjirofo,0,0,
6/14/20,Androy,0,0,
6/14/20,Anosy,0,0,
6/14/20,Atsimo-Andrefana,1,0,
6/14/20,Atsimo-Atsinanana,0,0,
6/14/20,Atsinanana,5,0,
6/14/20,Betsiboka,0,0,
6/14/20,Boeny,0,0,
6/14/20,Bongolava,0,0,
6/14/20,Diana,0,0,
6/14/20,Ihorombe,0,0,
6/14/20,Itasy,0,0,
6/14/20,Matsiatra Ambony,1,0,
6/14/20,Melaky,0,0,
6/14/20,Menabe,0,0,
6/14/20,Sava,0,0,
6/14/20,Sofia,0,0,
6/14/20,unspecified,0,0,
6/14/20,Vakinankaratra,0,0,
6/14/20,Vatovavy-Fitovinany,0,0,
6/15/20,Alaotra-Mangoro,0,0,
6/15/20,Amoron'i Mania,0,0,
6/15/20,Analamanga,7,0,
6/15/20,Analanjirofo,4,0,
6/15/20,Androy,0,0,
6/15/20,Anosy,0,0,
6/15/20,Atsimo-Andrefana,0,0,
6/15/20,Atsimo-Atsinanana,0,0,
6/15/20,Atsinanana,6,0,
6/15/20,Betsiboka,0,0,
6/15/20,Boeny,0,0,
6/15/20,Bongolava,0,0,
6/15/20,Diana,0,0,
6/15/20,Ihorombe,1,0,
6/15/20,Itasy,0,0,
6/15/20,Matsiatra Ambony,0,0,
6/15/20,Melaky,0,0,
6/15/20,Menabe,0,0,
6/15/20,Sava,0,0,
6/15/20,Sofia,0,0,
6/15/20,unspecified,0,0,
6/15/20,Vakinankaratra,0,0,
6/15/20,Vatovavy-Fitovinany,0,0,
6/16/20,Alaotra-Mangoro,0,0,
6/16/20,Amoron'i Mania,0,0,
6/16/20,Analamanga,21,2,
6/16/20,Analanjirofo,2,0,
6/16/20,Androy,0,0,
6/16/20,Anosy,0,0,
6/16/20,Atsimo-Andrefana,0,0,
6/16/20,Atsimo-Atsinanana,0,0,
6/16/20,Atsinanana,1,0,
6/16/20,Betsiboka,0,0,
6/16/20,Boeny,3,0,
6/16/20,Bongolava,0,0,
6/16/20,Diana,0,0,
6/16/20,Ihorombe,0,0,
6/16/20,Itasy,0,0,
6/16/20,Matsiatra Ambony,0,0,
6/16/20,Melaky,0,0,
6/16/20,Menabe,0,0,
6/16/20,Sava,0,0,
6/16/20,Sofia,0,0,
6/16/20,unspecified,0,0,
6/16/20,Vakinankaratra,0,0,
6/16/20,Vatovavy-Fitovinany,0,0,
6/17/20,Alaotra-Mangoro,1,0,
6/17/20,Amoron'i Mania,0,0,
6/17/20,Analamanga,52,0,
6/17/20,Analanjirofo,2,0,
6/17/20,Androy,0,0,
6/17/20,Anosy,0,0,
6/17/20,Atsimo-Andrefana,0,0,
6/17/20,Atsimo-Atsinanana,0,0,
6/17/20,Atsinanana,2,0,
6/17/20,Betsiboka,0,0,
6/17/20,Boeny,0,0,
6/17/20,Bongolava,1,0,
6/17/20,Diana,0,0,
6/17/20,Ihorombe,0,0,
6/17/20,Itasy,0,0,
6/17/20,Matsiatra Ambony,0,0,
6/17/20,Melaky,0,0,
6/17/20,Menabe,0,0,
6/17/20,Sava,0,0,
6/17/20,Sofia,0,0,
6/17/20,unspecified,0,0,
6/17/20,Vakinankaratra,3,0,
6/17/20,Vatovavy-Fitovinany,0,0,
6/18/20,Alaotra-Mangoro,8,0,
6/18/20,Amoron'i Mania,0,0,
6/18/20,Analamanga,0,1,
6/18/20,Analanjirofo,0,0,
6/18/20,Androy,0,0,
6/18/20,Anosy,0,0,
6/18/20,Atsimo-Andrefana,0,0,
6/18/20,Atsimo-Atsinanana,0,0,
6/18/20,Atsinanana,17,0,
6/18/20,Betsiboka,0,0,
6/18/20,Boeny,0,0,
6/18/20,Bongolava,0,0,
6/18/20,Diana,0,0,
6/18/20,Ihorombe,0,0,
6/18/20,Itasy,0,0,
6/18/20,Matsiatra Ambony,0,0,
6/18/20,Melaky,0,0,
6/18/20,Menabe,0,0,
6/18/20,Sava,0,0,
6/18/20,Sofia,0,0,
6/18/20,unspecified,0,0,
6/18/20,Vakinankaratra,0,0,
6/18/20,Vatovavy-Fitovinany,0,0,
6/19/20,Alaotra-Mangoro,0,0,
6/19/20,Amoron'i Mania,0,0,
6/19/20,Analamanga,8,0,
6/19/20,Analanjirofo,0,0,
6/19/20,Androy,0,0,
6/19/20,Anosy,0,0,
6/19/20,Atsimo-Andrefana,0,0,
6/19/20,Atsimo-Atsinanana,0,0,
6/19/20,Atsinanana,2,0,
6/19/20,Betsiboka,0,0,
6/19/20,Boeny,0,0,
6/19/20,Bongolava,0,0,
6/19/20,Diana,0,0,
6/19/20,Ihorombe,0,0,
6/19/20,Itasy,0,0,
6/19/20,Matsiatra Ambony,0,0,
6/19/20,Melaky,0,0,
6/19/20,Menabe,0,0,
6/19/20,Sava,0,0,
6/19/20,Sofia,0,0,
6/19/20,unspecified,30,0,
6/19/20,Vakinankaratra,0,0,
6/19/20,Vatovavy-Fitovinany,0,0,
6/20/20,Alaotra-Mangoro,0,0,
6/20/20,Amoron'i Mania,0,0,
6/20/20,Analamanga,44,0,
6/20/20,Analanjirofo,12,0,
6/20/20,Androy,0,0,
6/20/20,Anosy,0,0,
6/20/20,Atsimo-Andrefana,0,0,
6/20/20,Atsimo-Atsinanana,0,0,
6/20/20,Atsinanana,4,0,
6/20/20,Betsiboka,0,0,
6/20/20,Boeny,0,0,
6/20/20,Bongolava,0,0,
6/20/20,Diana,0,0,
6/20/20,Ihorombe,0,0,
6/20/20,Itasy,0,0,
6/20/20,Matsiatra Ambony,0,0,
6/20/20,Melaky,0,0,
6/20/20,Menabe,0,0,
6/20/20,Sava,0,0,
6/20/20,Sofia,0,0,
6/20/20,unspecified,0,0,
6/20/20,Vakinankaratra,0,0,
6/20/20,Vatovavy-Fitovinany,0,0,
6/21/20,Alaotra-Mangoro,0,0,
6/21/20,Amoron'i Mania,0,0,
6/21/20,Analamanga,71,0,
6/21/20,Analanjirofo,0,0,
6/21/20,Androy,0,0,
6/21/20,Anosy,0,0,
6/21/20,Atsimo-Andrefana,0,0,
6/21/20,Atsimo-Atsinanana,0,0,
6/21/20,Atsinanana,21,1,
6/21/20,Betsiboka,0,0,
6/21/20,Boeny,0,0,
6/21/20,Bongolava,0,0,
6/21/20,Diana,0,0,
6/21/20,Ihorombe,0,0,
6/21/20,Itasy,0,0,
6/21/20,Matsiatra Ambony,1,0,
6/21/20,Melaky,0,0,
6/21/20,Menabe,0,0,
6/21/20,Sava,0,0,
6/21/20,Sofia,0,0,
6/21/20,unspecified,0,0,
6/21/20,Vakinankaratra,0,0,
6/21/20,Vatovavy-Fitovinany,0,0,
6/22/20,Alaotra-Mangoro,0,0,
6/22/20,Amoron'i Mania,0,0,
6/22/20,Analamanga,10,0,
6/22/20,Analanjirofo,5,0,
6/22/20,Androy,0,0,
6/22/20,Anosy,0,0,
6/22/20,Atsimo-Andrefana,0,0,
6/22/20,Atsimo-Atsinanana,0,0,
6/22/20,Atsinanana,0,0,
6/22/20,Betsiboka,0,0,
6/22/20,Boeny,0,0,
6/22/20,Bongolava,0,0,
6/22/20,Diana,0,0,
6/22/20,Ihorombe,0,0,
6/22/20,Itasy,0,0,
6/22/20,Matsiatra Ambony,0,0,
6/22/20,Melaky,0,0,
6/22/20,Menabe,0,0,
6/22/20,Sava,0,0,
6/22/20,Sofia,0,0,
6/22/20,unspecified,27,1,
6/22/20,Vakinankaratra,2,0,
6/22/20,Vatovavy-Fitovinany,0,0,
6/23/20,Alaotra-Mangoro,0,0,
6/23/20,Amoron'i Mania,0,0,
6/23/20,Analamanga,83,0,
6/23/20,Analanjirofo,0,0,
6/23/20,Androy,0,0,
6/23/20,Anosy,0,0,
6/23/20,Atsimo-Andrefana,0,0,
6/23/20,Atsimo-Atsinanana,0,0,
6/23/20,Atsinanana,1,0,
6/23/20,Betsiboka,0,0,
6/23/20,Boeny,0,0,
6/23/20,Bongolava,0,0,
6/23/20,Diana,0,0,
6/23/20,Ihorombe,0,0,
6/23/20,Itasy,0,0,
6/23/20,Matsiatra Ambony,0,0,
6/23/20,Melaky,0,0,
6/23/20,Menabe,0,0,
6/23/20,Sava,0,0,
6/23/20,Sofia,0,0,
6/23/20,unspecified,0,0,
6/23/20,Vakinankaratra,0,0,
6/23/20,Vatovavy-Fitovinany,0,0,
6/24/20,Alaotra-Mangoro,21,0,
6/24/20,Amoron'i Mania,0,0,
6/24/20,Analamanga,38,0,
6/24/20,Analanjirofo,0,0,
6/24/20,Androy,0,0,
6/24/20,Anosy,0,0,
6/24/20,Atsimo-Andrefana,0,0,
6/24/20,Atsimo-Atsinanana,0,0,
6/24/20,Atsinanana,3,1,
6/24/20,Betsiboka,0,0,
6/24/20,Boeny,1,0,
6/24/20,Bongolava,0,0,
6/24/20,Diana,0,0,
6/24/20,Ihorombe,0,0,
6/24/20,Itasy,0,0,
6/24/20,Matsiatra Ambony,0,0,
6/24/20,Melaky,0,0,
6/24/20,Menabe,0,0,
6/24/20,Sava,0,0,
6/24/20,Sofia,0,0,
6/24/20,unspecified,0,0,
6/24/20,Vakinankaratra,0,0,
6/24/20,Vatovavy-Fitovinany,0,0,
6/25/20,Alaotra-Mangoro,0,0,
6/25/20,Amoron'i Mania,0,0,
6/25/20,Analamanga,37,0,
6/25/20,Analanjirofo,5,0,
6/25/20,Androy,0,0,
6/25/20,Anosy,0,0,
6/25/20,Atsimo-Andrefana,0,0,
6/25/20,Atsimo-Atsinanana,0,0,
6/25/20,Atsinanana,0,0,
6/25/20,Betsiboka,0,0,
6/25/20,Boeny,0,0,
6/25/20,Bongolava,0,0,
6/25/20,Diana,0,0,
6/25/20,Ihorombe,0,0,
6/25/20,Itasy,0,0,
6/25/20,Matsiatra Ambony,0,0,
6/25/20,Melaky,0,0,
6/25/20,Menabe,0,0,
6/25/20,Sava,0,0,
6/25/20,Sofia,0,0,
6/25/20,unspecified,0,0,
6/25/20,Vakinankaratra,0,0,
6/25/20,Vatovavy-Fitovinany,0,0,
6/26/20,Alaotra-Mangoro,0,0,
6/26/20,Amoron'i Mania,0,0,
6/26/20,Analamanga,11,0,
6/26/20,Analanjirofo,2,0,
6/26/20,Androy,0,0,
6/26/20,Anosy,0,0,
6/26/20,Atsimo-Andrefana,0,0,
6/26/20,Atsimo-Atsinanana,0,0,
6/26/20,Atsinanana,2,0,
6/26/20,Betsiboka,0,0,
6/26/20,Boeny,0,0,
6/26/20,Bongolava,0,0,
6/26/20,Diana,0,0,
6/26/20,Ihorombe,0,0,
6/26/20,Itasy,0,0,
6/26/20,Matsiatra Ambony,0,0,
6/26/20,Melaky,0,0,
6/26/20,Menabe,0,0,
6/26/20,Sava,0,0,
6/26/20,Sofia,0,0,
6/26/20,unspecified,78,0,
6/26/20,Vakinankaratra,0,0,
6/26/20,Vatovavy-Fitovinany,0,0,
6/27/20,Alaotra-Mangoro,1,0,
6/27/20,Amoron'i Mania,0,0,
6/27/20,Analamanga,74,0,
6/27/20,Analanjirofo,2,0,
6/27/20,Androy,0,0,
6/27/20,Anosy,0,0,
6/27/20,Atsimo-Andrefana,0,0,
6/27/20,Atsimo-Atsinanana,0,0,
6/27/20,Atsinanana,2,0,
6/27/20,Betsiboka,0,0,
6/27/20,Boeny,0,0,
6/27/20,Bongolava,0,0,
6/27/20,Diana,0,0,
6/27/20,Ihorombe,0,0,
6/27/20,Itasy,0,0,
6/27/20,Matsiatra Ambony,0,0,
6/27/20,Melaky,0,0,
6/27/20,Menabe,0,0,
6/27/20,Sava,0,0,
6/27/20,Sofia,0,0,
6/27/20,unspecified,0,0,
6/27/20,Vakinankaratra,4,0,
6/27/20,Vatovavy-Fitovinany,0,0,
6/28/20,Alaotra-Mangoro,0,0,
6/28/20,Amoron'i Mania,0,0,
6/28/20,Analamanga,66,0,
6/28/20,Analanjirofo,3,0,
6/28/20,Androy,0,0,
6/28/20,Anosy,0,0,
6/28/20,Atsimo-Andrefana,0,0,
6/28/20,Atsimo-Atsinanana,0,0,
6/28/20,Atsinanana,0,0,
6/28/20,Betsiboka,0,0,
6/28/20,Boeny,0,0,
6/28/20,Bongolava,0,0,
6/28/20,Diana,0,0,
6/28/20,Ihorombe,0,0,
6/28/20,Itasy,0,0,
6/28/20,Matsiatra Ambony,0,0,
6/28/20,Melaky,0,0,
6/28/20,Menabe,0,0,
6/28/20,Sava,1,0,
6/28/20,Sofia,0,0,
6/28/20,unspecified,0,2,
6/28/20,Vakinankaratra,3,0,
6/28/20,Vatovavy-Fitovinany,0,0,
6/29/20,Alaotra-Mangoro,11,0,
6/29/20,Amoron'i Mania,0,0,
6/29/20,Analamanga,49,0,
6/29/20,Analanjirofo,0,0,
6/29/20,Androy,0,0,
6/29/20,Anosy,0,0,
6/29/20,Atsimo-Andrefana,0,0,
6/29/20,Atsimo-Atsinanana,0,0,
6/29/20,Atsinanana,0,0,
6/29/20,Betsiboka,0,0,
6/29/20,Boeny,0,0,
6/29/20,Bongolava,0,0,
6/29/20,Diana,0,0,
6/29/20,Ihorombe,0,0,
6/29/20,Itasy,0,0,
6/29/20,Matsiatra Ambony,0,0,
6/29/20,Melaky,0,0,
6/29/20,Menabe,0,0,
6/29/20,Sava,0,0,
6/29/20,Sofia,0,0,
6/29/20,unspecified,0,2,
6/29/20,Vakinankaratra,0,0,
6/29/20,Vatovavy-Fitovinany,0,0,
6/30/20,Alaotra-Mangoro,0,0,
6/30/20,Amoron'i Mania,0,0,
6/30/20,Analamanga,75,0,
6/30/20,Analanjirofo,0,0,
6/30/20,Androy,0,0,
6/30/20,Anosy,0,0,
6/30/20,Atsimo-Andrefana,0,0,
6/30/20,Atsimo-Atsinanana,0,0,
6/30/20,Atsinanana,1,0,
6/30/20,Betsiboka,0,0,
6/30/20,Boeny,0,0,
6/30/20,Bongolava,0,0,
6/30/20,Diana,0,0,
6/30/20,Ihorombe,0,0,
6/30/20,Itasy,0,0,
6/30/20,Matsiatra Ambony,0,0,
6/30/20,Melaky,0,0,
6/30/20,Menabe,0,0,
6/30/20,Sava,0,0,
6/30/20,Sofia,0,0,
6/30/20,unspecified,0,0,
6/30/20,Vakinankaratra,0,0,
6/30/20,Vatovavy-Fitovinany,0,0,
7/1/20,Alaotra-Mangoro,0,0,
7/1/20,Amoron'i Mania,0,0,
7/1/20,Analamanga,88,0,
7/1/20,Analanjirofo,0,0,
7/1/20,Androy,0,0,
7/1/20,Anosy,0,0,
7/1/20,Atsimo-Andrefana,0,0,
7/1/20,Atsimo-Atsinanana,0,0,
7/1/20,Atsinanana,0,0,
7/1/20,Betsiboka,0,0,
7/1/20,Boeny,0,0,
7/1/20,Bongolava,0,0,
7/1/20,Diana,0,0,
7/1/20,Ihorombe,0,0,
7/1/20,Itasy,0,0,
7/1/20,Matsiatra Ambony,0,0,
7/1/20,Melaky,0,0,
7/1/20,Menabe,0,0,
7/1/20,Sava,0,0,
7/1/20,Sofia,0,0,
7/1/20,unspecified,0,2,
7/1/20,Vakinankaratra,0,0,
7/1/20,Vatovavy-Fitovinany,1,0,
7/2/20,Alaotra-Mangoro,1,0,
7/2/20,Amoron'i Mania,1,0,
7/2/20,Analamanga,52,0,
7/2/20,Analanjirofo,1,0,
7/2/20,Androy,0,0,
7/2/20,Anosy,0,0,
7/2/20,Atsimo-Andrefana,0,0,
7/2/20,Atsimo-Atsinanana,0,0,
7/2/20,Atsinanana,0,0,
7/2/20,Betsiboka,0,0,
7/2/20,Boeny,0,0,
7/2/20,Bongolava,0,0,
7/2/20,Diana,0,0,
7/2/20,Ihorombe,0,0,
7/2/20,Itasy,0,0,
7/2/20,Matsiatra Ambony,1,0,
7/2/20,Melaky,0,0,
7/2/20,Menabe,0,0,
7/2/20,Sava,0,0,
7/2/20,Sofia,0,0,
7/2/20,unspecified,44,2,
7/2/20,Vakinankaratra,0,0,
7/2/20,Vatovavy-Fitovinany,0,0,
7/3/20,Alaotra-Mangoro,1,0,
7/3/20,Amoron'i Mania,0,0,
7/3/20,Analamanga,85,0,
7/3/20,Analanjirofo,0,0,
7/3/20,Androy,0,0,
7/3/20,Anosy,0,0,
7/3/20,Atsimo-Andrefana,0,0,
7/3/20,Atsimo-Atsinanana,0,0,
7/3/20,Atsinanana,0,0,
7/3/20,Betsiboka,0,0,
7/3/20,Boeny,0,0,
7/3/20,Bongolava,0,0,
7/3/20,Diana,0,0,
7/3/20,Ihorombe,0,0,
7/3/20,Itasy,0,0,
7/3/20,Matsiatra Ambony,0,0,
7/3/20,Melaky,0,0,
7/3/20,Menabe,0,0,
7/3/20,Sava,0,0,
7/3/20,Sofia,0,0,
7/3/20,unspecified,23,2,
7/3/20,Vakinankaratra,0,0,
7/3/20,Vatovavy-Fitovinany,0,0,
7/4/20,Alaotra-Mangoro,5,0,
7/4/20,Amoron'i Mania,0,0,
7/4/20,Analamanga,209,0,
7/4/20,Analanjirofo,0,0,
7/4/20,Androy,0,0,
7/4/20,Anosy,0,0,
7/4/20,Atsimo-Andrefana,0,0,
7/4/20,Atsimo-Atsinanana,0,0,
7/4/20,Atsinanana,2,0,
7/4/20,Betsiboka,0,0,
7/4/20,Boeny,0,0,
7/4/20,Bongolava,0,0,
7/4/20,Diana,0,0,
7/4/20,Ihorombe,0,0,
7/4/20,Itasy,0,0,
7/4/20,Matsiatra Ambony,0,0,
7/4/20,Melaky,0,0,
7/4/20,Menabe,0,0,
7/4/20,Sava,0,0,
7/4/20,Sofia,0,0,
7/4/20,unspecified,0,3,
7/4/20,Vakinankaratra,0,0,
7/4/20,Vatovavy-Fitovinany,0,0,
7/5/20,Alaotra-Mangoro,0,0,
7/5/20,Amoron'i Mania,0,0,
7/5/20,Analamanga,197,0,
7/5/20,Analanjirofo,0,0,
7/5/20,Androy,0,0,
7/5/20,Anosy,0,0,
7/5/20,Atsimo-Andrefana,0,0,
7/5/20,Atsimo-Atsinanana,0,0,
7/5/20,Atsinanana,4,0,
7/5/20,Betsiboka,0,0,
7/5/20,Boeny,0,0,
7/5/20,Bongolava,0,0,
7/5/20,Diana,0,0,
7/5/20,Ihorombe,0,0,
7/5/20,Itasy,0,0,
7/5/20,Matsiatra Ambony,4,0,
7/5/20,Melaky,0,0,
7/5/20,Menabe,0,0,
7/5/20,Sava,0,0,
7/5/20,Sofia,0,0,
7/5/20,unspecified,0,3,
7/5/20,Vakinankaratra,8,0,
7/5/20,Vatovavy-Fitovinany,0,0,
7/6/20,Alaotra-Mangoro,0,0,
7/6/20,Amoron'i Mania,0,0,
7/6/20,Analamanga,303,0,
7/6/20,Analanjirofo,2,0,
7/6/20,Androy,0,0,
7/6/20,Anosy,0,0,
7/6/20,Atsimo-Andrefana,0,0,
7/6/20,Atsimo-Atsinanana,0,0,
7/6/20,Atsinanana,0,0,
7/6/20,Betsiboka,0,0,
7/6/20,Boeny,0,0,
7/6/20,Bongolava,0,0,
7/6/20,Diana,0,0,
7/6/20,Ihorombe,0,0,
7/6/20,Itasy,2,0,
7/6/20,Matsiatra Ambony,0,0,
7/6/20,Melaky,0,0,
7/6/20,Menabe,2,0,
7/6/20,Sava,0,0,
7/6/20,Sofia,0,0,
7/6/20,unspecified,0,1,
7/6/20,Vakinankaratra,0,0,
7/6/20,Vatovavy-Fitovinany,0,0,
7/7/20,Alaotra-Mangoro,0,0,
7/7/20,Amoron'i Mania,0,0,
7/7/20,Analamanga,210,0,
7/7/20,Analanjirofo,0,0,
7/7/20,Androy,0,0,
7/7/20,Anosy,0,0,
7/7/20,Atsimo-Andrefana,0,0,
7/7/20,Atsimo-Atsinanana,0,0,
7/7/20,Atsinanana,1,0,
7/7/20,Betsiboka,0,0,
7/7/20,Boeny,3,0,
7/7/20,Bongolava,0,0,
7/7/20,Diana,3,0,
7/7/20,Ihorombe,0,0,
7/7/20,Itasy,2,0,
7/7/20,Matsiatra Ambony,0,0,
7/7/20,Melaky,0,0,
7/7/20,Menabe,0,0,
7/7/20,Sava,0,0,
7/7/20,Sofia,0,0,
7/7/20,unspecified,0,0,
7/7/20,Vakinankaratra,3,0,
7/7/20,Vatovavy-Fitovinany,0,0,
7/8/20,Alaotra-Mangoro,0,0,
7/8/20,Amoron'i Mania,0,0,
7/8/20,Analamanga,96,0,
7/8/20,Analanjirofo,0,0,
7/8/20,Androy,0,0,
7/8/20,Anosy,0,0,
7/8/20,Atsimo-Andrefana,0,0,
7/8/20,Atsimo-Atsinanana,0,0,
7/8/20,Atsinanana,2,0,
7/8/20,Betsiboka,0,0,
7/8/20,Boeny,0,0,
7/8/20,Bongolava,0,0,
7/8/20,Diana,0,0,
7/8/20,Ihorombe,0,0,
7/8/20,Itasy,0,0,
7/8/20,Matsiatra Ambony,3,0,
7/8/20,Melaky,0,0,
7/8/20,Menabe,0,0,
7/8/20,Sava,0,0,
7/8/20,Sofia,0,0,
7/8/20,unspecified,0,0,
7/8/20,Vakinankaratra,0,0,
7/8/20,Vatovavy-Fitovinany,0,0,
7/9/20,Alaotra-Mangoro,0,0,
7/9/20,Amoron'i Mania,0,0,
7/9/20,Analamanga,209,0,
7/9/20,Analanjirofo,0,0,
7/9/20,Androy,0,0,
7/9/20,Anosy,0,0,
7/9/20,Atsimo-Andrefana,0,0,
7/9/20,Atsimo-Atsinanana,0,0,
7/9/20,Atsinanana,0,0,
7/9/20,Betsiboka,0,0,
7/9/20,Boeny,0,0,
7/9/20,Bongolava,0,0,
7/9/20,Diana,0,0,
7/9/20,Ihorombe,0,0,
7/9/20,Itasy,0,0,
7/9/20,Matsiatra Ambony,0,0,
7/9/20,Melaky,0,0,
7/9/20,Menabe,0,0,
7/9/20,Sava,0,0,
7/9/20,Sofia,0,0,
7/9/20,unspecified,0,0,
7/9/20,Vakinankaratra,0,0,
7/9/20,Vatovavy-Fitovinany,0,0,
7/10/20,Alaotra-Mangoro,0,0,
7/10/20,Amoron'i Mania,0,0,
7/10/20,Analamanga,341,0,
7/10/20,Analanjirofo,0,0,
7/10/20,Androy,0,0,
7/10/20,Anosy,0,0,
7/10/20,Atsimo-Andrefana,0,0,
7/10/20,Atsimo-Atsinanana,0,0,
7/10/20,Atsinanana,0,0,
7/10/20,Betsiboka,0,0,
7/10/20,Boeny,0,0,
7/10/20,Bongolava,0,0,
7/10/20,Diana,0,0,
7/10/20,Ihorombe,0,0,
7/10/20,Itasy,0,0,
7/10/20,Matsiatra Ambony,0,0,
7/10/20,Melaky,0,0,
7/10/20,Menabe,0,0,
7/10/20,Sava,1,0,
7/10/20,Sofia,0,0,
